name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
AT1G59218	RF9	L	4.03134840357038	-0.00884864718895087	-0.00219495967679549	-3.44452341950062	-0.548739919198873	0.0228021274878397	0.911751894572001
AT1G59750	ARF1	E	12.3590466408784	-0.477309815965853	-0.0386202779093913	2.59502977203821	-9.65506947734783	-0.671301530634681	0.883740118339093
AT1G61030	AT1G61030	E	2.5193674469404	-0.101352879233535	-0.0402294946521681	0.736222754913542	-10.057373663042	NA	0.824593088437886
AT1G64090	RTNLB3	E	46.8030326665066	1.33678559519622	0.0285619439390058	2.60387185856069	7.14048598475145	0.349620847402011	0.824819858907837
AT1G65150	AT1G65150	L	5.85923189483542	-9.32689879677578e-08	-1.5918296056855e-08	-16.9002123510641	-3.97957401421375e-06	3.39718312112515e-08	0.875604749697741
AT1G65590	HEXO3	E	7.07331199370306	-0.753400480485995	-0.106513113115426	4.99999612172458	-26.6282782788565	-1.09716535300972	0.832734769422203
AT1G69760	AT1G69760	E	22.657481316302	1.72129832254678	0.0759704178287599	2.02288758840996	18.99260445719	0.955227836623846	0.874165565771959
AT1G71015	AT1G71015	L	1.17631278411575	0.0593144050724834	0.0504240078603506	-1.61767145454655	12.6060019650876	-2.17963471343588	0.801538684072446
AT1G73230	AT1G73230	E	168.863684515182	24.0458531920278	0.142398013291401	4.99999364429377	35.5995033228501	0.77567509343925	0.859119434918199
AT1G77480	AT1G77480	E	9.36470061843386	-0.439340673951175	-0.0469145455740848	0.58866434378526	-11.7286363935212	NA	0.838464378111079
AT1G78920	AVPL1	L	16.8748865188601	-0.536184693877319	-0.031774121460198	2.06785403572307	-7.94353036504949	-0.699334261684454	0.872603796096733
AT1G79210	PAB2	E	28.2191803993108	1.45859823188193	0.0516881855263787	2.66009641194736	12.9220463815947	0.57121430701223	0.836993475042743
AT1G79920	HSP70-15	E	37.6021937568368	-1.90568170889427	-0.0506800672646335	0.501678092897112	-12.6700168161584	NA	0.858210234561282
AT2G02100	PDF2.2	E	845.034693558278	201.801702340557	0.238808777768412	4.82147396210911	59.7021944421029	1.16237510469426	0.824357539256665
AT2G02880	AT2G02880	L	2.97288128828131	0.166004748491786	0.0558396829184381	3.6909529254084	13.9599207296095	0.462806157918877	0.810653503057349
AT2G14120	DRP3B	L	11.6242088833565	-0.19124936787507	-0.0164526781817299	1.06517219523744	-4.11316954543246	-0.704043501837428	0.89984208077533
AT2G14580	PRB1	L	0.450905925737581	1.20805675663854e-07	2.67917693621443e-07	-17.2708416051694	6.69794234053607e-05	-5.59503137846833e-07	0.802283663005041
AT2G18890	AT2G18890	L	0.914503834337246	4.85906316550249e-08	5.31333274181833e-08	-16.5018494603458	1.32833318545458e-05	-1.16131211880997e-07	0.815301574178665
