source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
KAN1	AT3G15570	L	4.4836	-0.1349	-0.0301	0.7222	-7.5227	NA	0.8332
KAN1	ZIF1	L	36.4728	-1.0928	-0.03	1.2052	-7.4903	-1.4017	0.8036
KAN1	IDD5	L	16.1726	-0.4815	-0.0298	1.0944	-7.4432	-1.6444	0.9266
KAN1	AT3G54000	L	2.9738	-0.0851	-0.0286	0.3949	-7.1521	NA	0.9532
KAN1	DER1	L	25.085	-0.7041	-0.0281	1.9215	-7.0171	-0.6556	0.8572
KAN1	AT4G23530	L	3.8631	-0.1081	-0.028	0.3597	-6.9929	NA	0.9172
KAN1	THE1	L	6.9937	-0.184	-0.0263	0.932	-6.579	-1.7657	0.8653
KAN1	UMAMIT41	L	15.3971	-0.4008	-0.026	0.8959	-6.5084	-1.87	0.8475
KAN1	BHLH72	L	5.4828	-0.1416	-0.0258	0.492	-6.4574	NA	0.8614
KAN1	TCP22	L	15.633	-0.3972	-0.0254	0.2178	-6.352	NA	0.9678
KAN1	UGT79B7	L	4.0949	-0.0997	-0.0244	0.5596	-6.0877	NA	0.9472
KAN1	AT1G74450	L	5.5063	-0.1322	-0.024	0.4205	-6.0004	NA	0.9376
KAN1	AT1G60700	L	1.4339	-0.0338	-0.0235	0.5383	-5.8856	NA	0.8413
KAN1	PAE12	L	28.2413	-0.6641	-0.0235	1.4923	-5.8789	-0.7225	0.8966
KAN1	APK1B	L	9.324	-0.2188	-0.0235	0.0501	-5.8673	NA	0.9299
KAN1	GA3OX1	L	9.502	-0.2223	-0.0234	0.4535	-5.8499	NA	0.899
KAN1	AT1G09160	L	11.9264	-0.2737	-0.023	0.7887	-5.7381	-1.8761	0.8985
KAN1	AT1G09710	L	1.8043	-0.0393	-0.0218	0.2918	-5.4498	NA	0.8085
KAN1	TCX3	L	3.2377	-0.0687	-0.0212	0.677	-5.3052	-2.2083	0.8754
KAN1	PUB17	L	8.7077	-0.1782	-0.0205	0.9583	-5.1149	-1.1007	0.8416
KAN1	AT2G30990	L	6.772	-0.1358	-0.02	0.2105	-5.0125	NA	0.8637
KAN1	FQR1	L	116.7828	3.0939	0.0265	0.1251	6.6233	2.6537	0.8718
KAN1	CPuORF60	L	5.2485	0.151	0.0288	0.1103	7.1914	2.9102	0.8186
KAN1	AT4G26060	L	6.0388	0.175	0.029	0.2418	7.2468	1.9988	0.8226
KAN1	AT5G20880	E	3.7967	0.1599	0.0421	1.2621	10.5255	0.875	0.8133
KAN1	CHI1	E	11.6235	0.5196	0.0447	1.1035	11.175	1.0091	0.8351
KAN1	ANT1	L	3.5851	0.1763	0.0492	0.7275	12.2949	1.4276	0.8496
KAN1	TRM28	L	4.6127	0.2325	0.0504	0.3437	12.6019	2.2225	0.8891
KAN1	TIC	L	10.2871	0.5592	0.0544	0.9283	13.5898	1.301	0.8729
KAN1	ABCI20	L	17.9091	0.9856	0.055	0.4889	13.7589	1.9314	0.8474
KAN1	URE	E	1.6332	0.0912	0.0558	1.4147	13.9592	0.9904	0.8832
KAN1	AT3G16565	E	4.034	0.2256	0.0559	0.1821	13.9789	3.1173	0.8054
KAN1	ARF17	E	1.7632	0.0996	0.0565	2.0515	14.1292	0.7559	0.8359
KAN1	SRT1	L	1.9824	0.1137	0.0574	2.3384	14.3413	0.69	0.9114
KAN1	TIC32	E	10.4983	0.6244	0.0595	0.2049	14.8697	3.0457	0.8085
KAN1	BAG2	L	4.1127	0.2496	0.0607	1.2038	15.1696	1.1764	0.8297
KAN1	SADHU1-1	E	75.4143	4.6894	0.0622	0.4789	15.5454	2.0861	0.886
KAN1	AT5G27920	L	2.0961	0.1311	0.0626	1.076	15.64	1.2948	0.8303
KAN1	AT3G13910	L	18.3768	1.1502	0.0626	0.9187	15.6477	1.4347	0.8402
KAN1	ATHB-6	L	68.3069	4.3101	0.0631	2.5437	15.7746	0.6961	0.8872
KAN1	AT1G55630	L	1.2064	0.0851	0.0705	3.904	17.6296	0.5376	0.8073
KAN1	SCPL1	L	2.4272	0.172	0.0709	0.7503	17.7155	1.7489	0.8296
KAN1	AT3G10680	L	0.7673	0.0568	0.074	1.0596	18.5118	1.4579	0.8422
KAN1	NSH3	L	1.8371	0.1362	0.0741	2.7995	18.5305	0.7328	0.8274
KAN1	OCT5	E	1.4158	0.1081	0.0763	1.1104	19.0858	1.443	0.8588
KAN1	TCP9	E	2.8236	0.2217	0.0785	1.0807	19.6284	1.4938	0.8614
KAN1	BASS5	E	14.9271	1.2322	0.0825	2.2019	20.6372	0.954	0.8144
KAN1	WNK11	E	0.951	0.0805	0.0846	1.3418	21.1515	1.3653	0.8161
KAN1	AT3G60200	L	2.8286	0.2476	0.0875	2.8399	21.8861	0.8243	0.8343
KAN1	AT1G50410	E	1.4998	0.1323	0.0882	4.7363	22.0453	0.5514	0.8304
KAN1	JP630	L	0.825	0.0756	0.0916	1.4846	22.9103	1.3467	0.826
KAN1	AT1G74300	E	1.3767	0.1344	0.0976	0.7008	24.4	2.164	0.8267
KAN1	AT4G03420	L	11.3461	1.1205	0.0988	0.1845	24.6888	3.846	0.9057
KAN1	AT1G27565	L	0.7394	0.0737	0.0997	0.9883	24.9336	1.8168	0.8244
KAN1	UGT89C1	L	5.9683	0.5982	0.1002	5	25.0562	0.586	0.8414
KAN1	ABI2	L	1.1824	0.1248	0.1055	0.7582	26.3859	2.1635	0.8728
KAN1	CDF2	L	2.3406	0.2557	0.1093	3.967	27.3135	0.7558	0.848
KAN1	ABCG36	E	27.5232	3.0648	0.1114	1.9595	27.8387	1.2754	0.8136
KAN1	UGT72E1	L	25.5647	2.9243	0.1144	5	28.5965	0.6525	0.8535
KAN1	RABA1E	L	4.2925	0.4956	0.1155	1.69	28.8641	1.4372	0.8797
KAN1	MRSA2	L	22.4323	2.6876	0.1198	3.0127	29.9519	0.9958	0.8487
KAN1	PLDGAMMA1	L	4.6285	0.5578	0.1205	4.5963	30.1315	0.7273	0.8282
KAN1	AT1G76800	L	2.5993	0.3169	0.1219	2.791	30.4752	1.0648	0.8089
KAN1	ANAC080	E	1.8087	0.2236	0.1236	0.6673	30.908	2.4936	0.84
KAN1	MYB7	L	7.4828	1.0119	0.1352	1.2882	33.8074	1.8578	0.9056
KAN1	AT3G16560	L	6.5745	0.8939	0.136	1.1656	33.9918	1.9694	0.8839
KAN1	DIR7	L	11.6524	1.6187	0.1389	0.5574	34.7292	2.8541	0.8523
KAN1	AT5G44585	L	18.0857	2.5167	0.1392	0.6069	34.789	2.7511	0.8036
KAN1	AT2G34340	L	4.2846	0.729	0.1701	0.0277	42.5346	7.2738	0.9756
KAN1	ATHB-12	L	6.6144	1.1731	0.1774	1.0455	44.3385	2.3899	0.9222
KAN1	YDK1	L	1.0203	0.1837	0.18	1.4715	45.0039	2.0209	0.8533
KAN1	NUDT5	L	1.6326	0.2985	0.1828	5	45.7069	0.9367	0.8534
KAN1	NAC002	L	11.8883	2.183	0.1836	2.4768	45.9064	1.5127	0.8333
KAN1	TRX7	L	1.6684	0.3244	0.1945	1.6427	48.6172	1.9854	0.8969
KAN1	MYB4	L	9.3453	2.4142	0.2583	2.368	64.584	1.8982	0.8897
KAN1	AT5G26690	L	0.5759	0.1789	0.3107	0.6154	77.6831	3.7681	0.9156
