name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
AT1G17190	GSTU26	L	15.5015320872486	0.414135822450189	0.0267157994525492	-1.83503743468335	6.6789498631373	-0.652828843252118	0.923458092353997
AT1G17940	AT1G17940	L	3.2602402650838	-0.0200834470089429	-0.00616011256103749	-1.92783009799731	-1.54002814025937	0.110876371825079	0.867924773851438
AT1G18010	AT1G18010	L	6.12671538563589	-0.47879009745918	-0.0781479254906643	3.37772530986553	-19.5369813726661	-1.24607533180052	0.921420304693321
AT1G19770	PUP14	L	43.0424287698401	-4.73890783152731	-0.110098522945059	4.99999205503424	-27.5246307362648	-1.1535860833479	0.892052132343708
AT1G20190	EXPA11	L	17.2810509766177	0.179792623561247	0.0104040329378414	-2.7901922013563	2.60100823446035	-0.14117501411199	0.859846226191358
AT1G21000	AT1G21000	L	8.19701590552746	-0.796264941571275	-0.0971408315841296	4.44000731976995	-24.2852078960324	-1.14229997794548	0.928087451784992
AT1G21100	IGMT1	L	27.6640245127186	1.40280530284626	0.0507086487796205	-1.41379511276857	12.6771621949051	-3.27475341443336	0.866392261306595
AT1G21830	AT1G21830	L	14.9646728780635	-1.24960230798546	-0.0835034830475471	2.88828534031663	-20.8758707618868	-1.85088269278003	0.954072372448676
AT1G21880	LYM1	L	18.4757404295311	-0.223890208876435	-0.0121180642113035	0.69093035956639	-3.02951605282588	-0.832562652848774	0.81705388697912
AT1G21910	ERF012	L	6.72362354988203	-0.612845003076466	-0.0911480243546976	3.00472888142403	-22.7870060886744	-2.0491371865378	0.918631307657112
AT1G23440	AT1G23440	L	40.5684873023799	0.100801747571219	0.00248473024936539	-3.38020309103225	0.621182562341348	-0.0267591571030996	0.835560545449134
AT1G23720	AT1G23720	L	20.5451693856072	0.0205572394889797	0.00100058749106157	-6.20680649907852	0.250146872765393	-0.00582610129454473	0.902502514278936
AT1G23760	JP630	L	0.824950463374693	0.0755994032928413	0.091641142891878	1.48456674212129	22.9102857229695	1.3466621838656	0.825958951330691
AT1G24148	AT1G24148	L	5.19920713402133	-0.572830290998083	-0.110176470417909	4.99998988225132	-27.5441176044772	-1.15483826236272	0.868139645628784
AT1G24265	AT1G24265	L	2.40027069770489	-0.00589901375533425	-0.00245764519850815	-3.67158449758244	-0.614411299627038	0.0239426104666312	0.92744463787029
AT1G24530	AT1G24530	L	14.9562418637379	-0.524091556658193	-0.0350416609622286	0.677092245622001	-8.76041524055714	NA	0.86880459098586
AT1G25380	NDT2	L	13.5022480295453	-0.00346195902455379	-0.00025639871353114	-5.30418214690024	-0.0640996783827851	0.00174240727286093	0.843854572106453
AT1G25550	AT1G25550	L	34.2867415183225	-3.86691098423261	-0.112781524665042	4.63988956220907	-28.1953811662605	-1.3498734562195	0.944351209377727
AT1G25560	TEM1	L	33.2082993075067	-3.64010296003973	-0.109614254145707	4.99999066247701	-27.4035635364266	-1.14583608973918	0.830043515945181
AT1G26945	PRE6	L	12.0643229395396	-0.430312858093446	-0.0356682144741947	0.488736897618145	-8.91705361854868	NA	0.854354840192403
AT1G27100	AT1G27100	L	13.0575362142583	-0.476963758377891	-0.0365278526171779	1.58719907787034	-9.13196315429447	-1.23565668315749	0.878596216386623
AT1G27565	AT1G27565	L	0.739447296391622	0.0737482735883832	0.0997343204150753	0.988260687226818	24.9335801037688	1.81679465273481	0.824370331868242
AT1G28660	AT1G28660	L	81.064553921154	-7.60231643374179	-0.0937810185341432	3.28408924757566	-23.4452546335358	-1.80543032355668	0.831072880747084
AT1G28670	ARAB-1	L	72.4120172979496	-9.37587810319393	-0.129479587132831	4.99999497483967	-32.3698967832077	-1.5038898360423	0.841368822076071
