source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
TINY	SYP122	E	3.5066	0.385	0.1098	1.3758	27.4504	1.5827	0.8036
TINY	AT1G71700	L	5.5313	0.6078	0.1099	0.5506	27.4707	2.5824	0.9193
TINY	PYL4	L	215.0669	23.7082	0.1102	5	27.5591	0.6334	0.9453
TINY	AT4G01410	L	20.9449	2.3158	0.1106	3.2732	27.642	0.8832	0.8166
TINY	GATA21	L	15.8115	1.7647	0.1116	5	27.9023	0.6397	0.8787
TINY	AT5G43870	L	4.3534	0.4926	0.1132	5	28.2888	0.6469	0.8684
TINY	AT4G35070	L	1.029	0.1168	0.1135	0.5267	28.385	2.6757	0.964
TINY	CPuORF46	L	3.5142	0.4062	0.1156	2.3099	28.8957	1.1705	0.9487
TINY	ZF14	E	2.3437	0.2711	0.1157	1.2233	28.9179	1.7502	0.8664
TINY	PHO1-H7	L	0.708	0.0824	0.1164	0.6592	29.1007	2.4368	0.8464
TINY	ALA11	E	1.9481	0.2277	0.1169	3.4179	29.2207	0.8914	0.8012
TINY	HSFC1	E	3.7479	0.4402	0.1175	1.9483	29.3626	1.326	0.9365
TINY	AT2G18210	E	7.5649	0.8938	0.1181	0.5343	29.5369	2.7066	0.9018
TINY	AT3G59080	E	2.3941	0.2834	0.1184	0.8822	29.594	2.1225	0.8735
TINY	LRX3	E	21.1499	2.5149	0.1189	0.889	29.7271	2.1189	0.8774
TINY	AT2G39650	E	2.4822	0.2958	0.1192	0.3816	29.7924	3.1386	0.8129
TINY	BGLU1	L	3.2669	0.3907	0.1196	1.6329	29.8992	1.5013	0.899
TINY	BHLH72	L	3.2231	0.3905	0.1212	2.9237	30.2925	1.0258	0.879
TINY	emb2738	E	18.2614	2.2167	0.1214	4.028	30.3473	0.8102	0.8801
TINY	RAV1	E	13.0491	1.5844	0.1214	0.6567	30.3539	2.4912	0.9196
TINY	CSLC4	L	21.8221	2.6906	0.1233	2.2249	30.8246	1.2543	0.9616
TINY	RPP13L4	L	9.329	1.154	0.1237	5	30.9248	0.6947	0.8169
TINY	AT3G01560	L	17.9639	2.2306	0.1242	5	31.0429	0.6968	0.9283
TINY	T2E22.34	E	10.3415	1.2917	0.1249	0.7242	31.2259	2.4093	0.9264
TINY	AT3G06990	E	0.9353	0.1173	0.1254	0.6891	31.3477	2.4722	0.9457
TINY	IGMT2	L	2.8805	0.362	0.1257	2.176	31.4179	1.2891	0.8735
TINY	AT1G01540	L	11.5557	1.4597	0.1263	5	31.5808	0.7063	0.8232
TINY	AT5G23360	L	2.4661	0.3118	0.1264	2.2987	31.6081	1.248	0.9525
TINY	NUDT17	L	27.0652	3.4415	0.1272	5	31.7889	0.71	0.9274
TINY	AT1G24530	L	12.6396	1.6087	0.1273	3.077	31.8194	1.0244	0.9414
TINY	COPT1	L	43.6398	5.5923	0.1281	5	32.0369	0.7143	0.8136
TINY	PERK15	L	2.9864	0.3829	0.1282	5	32.0571	0.7147	0.8078
TINY	AT1G27200	E	4.5793	0.5917	0.1292	1.024	32.3052	2.0548	0.866
TINY	RIPK	L	6.4555	0.8393	0.13	5	32.5034	0.7225	0.8563
TINY	AT1G67900	L	4.0708	0.5349	0.1314	3.4816	32.8468	0.9586	0.8464
TINY	GALS3	L	8.9643	1.1831	0.132	4.0485	32.9942	0.86	0.9753
TINY	GSTU6	L	8.0471	1.0654	0.1324	4.0702	33.0974	0.8585	0.857
TINY	AT5G19240	L	20.7608	2.7816	0.134	0.4416	33.4957	3.1019	0.8393
TINY	KCS19	L	30.6507	4.1151	0.1343	5	33.5646	0.741	0.8742
TINY	MKK9	L	7.3896	0.9945	0.1346	2.6938	33.6449	1.1693	0.8236
TINY	PERK9	E	1.14	0.1535	0.1346	1.5879	33.6607	1.6415	0.8663
TINY	CCR1	L	1.6161	0.2188	0.1354	5	33.8494	0.7459	0.8998
TINY	GATA16	L	6.4489	0.876	0.1358	3.7724	33.9601	0.9262	0.8639
TINY	PIL1	L	4.4481	0.6072	0.1365	0.9803	34.1263	2.1639	0.8717
TINY	CAF1-11	L	4.4251	0.6052	0.1368	4.5167	34.1913	0.8131	0.8826
TINY	ATL77	E	2.8455	0.3929	0.1381	0.5373	34.5211	2.8924	0.9229
TINY	BRG3	L	8.9413	1.2398	0.1387	2.3414	34.6658	1.3107	0.906
TINY	AUF1	L	23.1607	3.2418	0.14	3.9278	34.992	0.9191	0.8459
TINY	AT4G06536	E	1.975	0.277	0.1403	0.4621	35.0683	3.1025	0.8544
TINY	AT4G24160	L	9.4828	1.3386	0.1412	2.3268	35.2897	1.3315	0.9016
TINY	UGT71B2	L	7.8622	1.1172	0.1421	4.0984	35.525	0.9006	0.89
TINY	YUC5	L	0.7092	0.1008	0.1421	0.0734	35.5343	5.626	0.8067
TINY	GATL8	L	25.4536	3.6306	0.1426	3.4236	35.6587	1.0297	0.9168
TINY	TIFY6B	L	9.1816	1.3107	0.1428	5	35.6889	0.7772	0.8297
TINY	AT2G36650	E	0.9069	0.1301	0.1435	1.1913	35.874	2.0041	0.8656
TINY	FLOT1	L	0.6744	0.0984	0.1459	1.5938	36.464	1.7171	0.8898
TINY	MSRB7	E	31.5944	4.6304	0.1466	0.0251	36.6395	7.199	0.8025
TINY	MYB96	E	6.025	0.8833	0.1466	0.7076	36.65	2.6274	0.8729
TINY	AT3G24518	E	9.2016	1.3498	0.1467	2.9161	36.674	1.1748	0.9463
TINY	LBD38	L	59.1197	8.6742	0.1467	5	36.6809	0.7938	0.841
TINY	AT3G07000	E	1.2371	0.1818	0.1469	0.6478	36.7311	2.7377	0.9623
TINY	AT3G19970	L	1.3335	0.1973	0.1479	3.2587	36.9873	1.0943	0.9226
TINY	AMC7	E	2.9745	0.4438	0.1492	2.9371	37.3032	1.1827	0.832
TINY	LPP1	E	4.2052	0.6313	0.1501	3.7772	37.5312	0.9954	0.8163
TINY	AT1G29290	L	1.261	0.1915	0.1519	1.8133	37.9736	1.6295	0.8185
TINY	PUP14	E	26.06	4.0051	0.1537	1.7277	38.4218	1.6888	0.8953
TINY	PGSIP8	E	0.8164	0.1262	0.1546	1.1451	38.6525	2.1295	0.8341
TINY	AtRDUF2	L	5.2445	0.8202	0.1564	5	39.0973	0.8335	0.8049
TINY	MYB73	E	9.6042	1.5053	0.1567	1.4149	39.1843	1.9144	0.9703
TINY	AZF1	E	1.912	0.3025	0.1582	2.6379	39.5472	1.3215	0.8835
TINY	AT2G39980	L	2.9039	0.46	0.1584	1.1661	39.6004	2.1362	0.9067
TINY	AT1G75860	L	15.6159	2.4813	0.1589	2.1162	39.7241	1.5246	0.9309
TINY	PMAT1	L	11.5056	1.8413	0.16	3.683	40.009	1.061	0.8687
TINY	TOPP9	L	3.588	0.5745	0.1601	3.8047	40.0318	1.0371	0.9083
TINY	PIF5	L	13.5448	2.1713	0.1603	5	40.0759	0.8492	0.9068
TINY	SCL30	E	10.4417	1.6759	0.1605	4.2896	40.1257	0.9526	0.8094
TINY	AT1G48745	L	5.6487	0.9099	0.1611	5	40.2704	0.8523	0.8331
TINY	AT5G44350	E	0.8393	0.1381	0.1645	1.8686	41.1326	1.6786	0.8544
TINY	AT4G27280	E	9.3943	1.558	0.1658	0.5462	41.4621	3.1029	0.8058
TINY	GATL3	L	22.3932	3.7285	0.1665	4.2409	41.6256	0.9866	0.9674
TINY	AT2G41550	E	1.7955	0.2997	0.1669	3.8024	41.7261	1.0686	0.8649
TINY	ERF9	L	6.2619	1.0462	0.1671	5	41.7672	0.8761	0.8088
TINY	NDL2	L	43.6663	7.3675	0.1687	1.7882	42.1808	1.748	0.9308
TINY	AT3G57400	L	15.4897	2.6741	0.1726	5	43.1592	0.8978	0.9628
TINY	AHL17	E	6.2762	1.0883	0.1734	1.1535	43.3509	2.2504	0.9583
TINY	SUGTL2	E	7.08	1.248	0.1763	2.3001	44.068	1.544	0.8729
TINY	AT5G64230	L	2.6687	0.4713	0.1766	5	44.1472	0.913	0.8152
