ID	gamma	gamma.97.5	gamma.2.5	gamma.stderr	t.half	t.fit	p.fit	name
AT1G13980	0.159	0.113	0.204	0.021	4.373	7.427	9.8881e-07	GN
AT1G13990	0.167	0.128	0.206	0.019	4.144	8.996	7.131e-08	AT1G13990
AT1G14000	0.113	0.064	0.162	0.023	6.126	4.887	0.00013878	VIK
AT1G14020	1.054	0.725	1.384	0.156	0.658	6.749	3.4011e-06	AT1G14020
AT1G14040	0.209	0.14	0.278	0.033	3.32	6.391	6.7034e-06	PHO1%3BH3
AT1G14060	0.196	0.131	0.26	0.03	3.543	6.422	6.3223e-06	AT1G14060
AT1G14130	0.131	0.081	0.181	0.024	5.298	5.542	3.5832e-05	AT1G14130
AT1G14140	0.847	0.506	1.189	0.162	0.818	5.232	6.7581e-05	PUMP3
AT1G14180	1.424	0.669	2.18	0.358	0.487	3.98	0.00096882	AT1G14180
AT1G14200	0.123	0.049	0.197	0.035	5.643	3.535	0.0027514	AT1G14200
AT1G14210	0.194	0.128	0.261	0.031	3.565	6.197	9.7431e-06	AT1G14210
AT1G14260	0.236	0.137	0.336	0.047	2.931	5.009	0.00010745	AT1G14260
AT1G14270	0.163	0.107	0.218	0.026	4.263	6.137	1.0964e-05	AT1G14270
