ID	gamma	gamma.97.5	gamma.2.5	gamma.stderr	t.half	t.fit	p.fit	name
AT3G19340	0.093	0.072	0.114	0.01	7.436	9.454	3.5e-08	AT3G19340
AT3G19350	0.092	0.059	0.125	0.016	7.55	5.899	1.7493e-05	MPC
AT3G19360	1.431	1.072	1.791	0.17	0.484	8.398	1.8728e-07	AT3G19360
AT3G19370	0.263	0.182	0.343	0.038	2.637	6.894	2.5978e-06	AT3G19370
AT3G19390	0.039	0.01	0.069	0.014	17.724	2.803	0.012768	AT3G19400
AT3G19400	0.113	0.087	0.138	0.012	6.156	9.389	3.8696e-08	AT3G19400
AT3G19420	0.055	0.039	0.07	0.007	12.65	7.532	8.2168e-07	ATPEN2
AT3G19440	0.588	0.45	0.726	0.065	1.179	9	7.0825e-08	AT3G19440
AT3G19450	0.083	0.062	0.104	0.01	8.334	8.375	1.9464e-07	CAD4
AT3G19460	0.206	0.137	0.275	0.033	3.364	6.261	8.6073e-06	RTNLB11
AT3G19470	0.595	0.432	0.757	0.077	1.166	7.716	5.9518e-07	AT3G19470
AT3G19490	0.061	0.046	0.076	0.007	11.378	8.64	1.26e-07	ATNHD1
AT3G19510	0.905	0.689	1.122	0.103	0.766	8.817	9.4794e-08	HAT3.1
AT3G19515	0.166	0.134	0.198	0.015	4.165	10.963	4e-09	AT3G19515
AT3G19516	0.12	0.067	0.173	0.025	5.788	4.771	0.00017752	AT3G19516
AT3G19520	0.095	0.067	0.124	0.013	7.273	7.068	1.8888e-06	AT3G19520
AT3G19530	0.392	0.173	0.611	0.104	1.77	3.773	0.0015177	AT3G19530
AT3G19540	1.086	0.926	1.247	0.076	0.638	14.275	6.7741e-11	AT3G19540
AT3G19570	0.371	0.237	0.505	0.063	1.868	5.855	1.9118e-05	SCO3
AT3G19580	0.141	0.025	0.257	0.055	4.918	2.578	0.020222	AZF2
AT3G19590	0.139	0.094	0.183	0.021	4.996	6.606	4.4571e-06	BUB3.1
AT3G19630	0.207	0.156	0.258	0.024	3.345	8.562	1.43e-07	AT3G19630
AT3G19640	0.133	0.097	0.17	0.017	5.206	7.679	6.35e-07	MRS2-3
AT3G19650	0.417	0.334	0.5	0.039	1.663	10.607	6.4868e-09	AT3G19650
AT3G19660	0.07	0.021	0.12	0.023	9.887	2.996	0.0085453	AT3G19660
AT3G19670	0.311	0.215	0.407	0.045	2.229	6.848	2.829e-06	PRP40B
AT3G19680	0.625	0.502	0.748	0.058	1.109	10.699	5.6983e-09	AT3G19680
AT3G19720	0.146	0.096	0.197	0.024	4.735	6.133	1.1056e-05	ARC5
AT3G19720	0.094	0.069	0.119	0.012	7.381	7.976	3.8037e-07	ARC5
AT3G19740	0.332	0.272	0.391	0.028	2.091	11.719	1.4449e-09	AT3G19740
AT3G19750	0.418	0.281	0.554	0.065	1.66	6.436	6.1485e-06	AT3G19750
AT3G19760	0.082	0.049	0.116	0.016	8.405	5.239	6.6694e-05	RH2
AT3G19770	0.366	0.274	0.457	0.043	1.895	8.449	1.7228e-07	VPS9A
AT3G19790	0.207	0.163	0.251	0.021	3.345	9.907	1.7763e-08	AT3G19790
AT3G19800	0.101	0.069	0.133	0.015	6.895	6.63	4.2576e-06	AT3G19800
AT3G19810	0.136	0.098	0.175	0.018	5.089	7.465	9.2511e-07	AT3G19810
AT3G19820	0.065	0.048	0.081	0.008	10.735	8.18	2.6944e-07	DIM
AT3G19840	0.328	0.226	0.43	0.048	2.112	6.773	3.2518e-06	MED35C
AT3G19860	0.215	0.143	0.287	0.034	3.225	6.31	7.8346e-06	BHLH121
AT3G19870	0.705	0.535	0.875	0.08	0.983	8.759	1.0393e-07	AT3G19870
AT3G19900	0.082	0.045	0.119	0.018	8.437	4.682	0.00021409	AT3G19900
AT3G19910	0.056	0.045	0.068	0.005	12.296	10.261	1.0598e-08	BBR
AT3G19930	0.055	0.027	0.083	0.013	12.538	4.184	0.00062254	STP4
AT3G19950	0.216	0.171	0.261	0.021	3.211	10.124	1.2912e-08	AT3G19950
AT3G19960	0.162	0.115	0.208	0.022	4.292	7.26	1.3324e-06	VIII-1
AT3G19970	0.53	0.448	0.612	0.039	1.309	13.637	1.3904e-10	AT3G19970
AT3G19980	0.207	0.153	0.26	0.025	3.356	8.131	2.9225e-07	FYPP3
AT3G19990	0.12	0.103	0.138	0.008	5.753	14.558	4.9725e-11	AT3G19990
AT3G20000	0.197	0.141	0.252	0.026	3.526	7.466	9.2274e-07	TOM40-1
AT3G20010	0.638	0.564	0.712	0.035	1.086	18.202	1.3877e-12	AT3G20010
AT3G20015	0.875	0.41	1.341	0.221	0.792	3.969	0.00099271	ASPG2
AT3G20020	0.31	0.236	0.385	0.035	2.233	8.813	9.5452e-08	PRMT6
AT3G20040	0.164	0.089	0.239	0.036	4.229	4.6	0.00025506	ATHXK4
AT3G20050	0.119	0.088	0.15	0.015	5.825	8.122	2.9677e-07	CCT1
AT3G20060	0.057	0.041	0.074	0.008	12.072	7.513	8.4889e-07	UBC19
AT3G20070	0.202	0.133	0.271	0.033	3.43	6.214	9.4438e-06	TTN9
AT3G20150	0.069	0.04	0.099	0.014	9.991	4.937	0.00012515	AT3G20150
AT3G20230	0.106	0.068	0.144	0.018	6.56	5.842	1.9591e-05	AT3G20230
AT3G20240	1.185	0.802	1.568	0.182	0.585	6.525	5.1929e-06	AT3G20240
AT3G20250	0.097	0.079	0.114	0.008	7.181	11.581	1.7295e-09	APUM5
AT3G20270	0.132	0.093	0.171	0.018	5.252	7.171	1.5652e-06	AT3G20270
AT3G20280	0.423	0.322	0.525	0.048	1.637	8.822	9.4e-08	AT3G20280
AT3G20290	0.135	0.087	0.184	0.023	5.116	5.868	1.8606e-05	EHD1
AT3G20300	0.139	0.067	0.211	0.034	4.989	4.083	0.00077395	AT3G20300
AT3G20310	0.426	0.274	0.578	0.072	1.628	5.902	1.7394e-05	ERF7
AT3G20320	0.233	0.172	0.294	0.029	2.973	8.023	3.5089e-07	TGD2
AT3G20330	0.289	0.211	0.366	0.037	2.4	7.874	4.5312e-07	PYRB
AT3G20370	0.086	0.024	0.148	0.029	8.084	2.91	0.0097475	AT3G20370
AT3G20390	0.026	0.014	0.039	0.006	26.344	4.358	0.00042807	RIDA
AT3G20410	0.635	0.487	0.783	0.07	1.092	9.045	6.6061e-08	CPK9
AT3G20420	0.25	0.14	0.359	0.052	2.774	4.817	0.00016113	RTL2
AT3G20430	0.39	0.184	0.596	0.098	1.778	3.998	0.00093092	AT3G20430
AT3G20475	0.189	0.134	0.244	0.026	3.669	7.25	1.3566e-06	MSH5
AT3G20480	0.258	0.166	0.351	0.044	2.681	5.923	1.6711e-05	LPXK
AT3G20490	0.255	0.189	0.32	0.031	2.721	8.213	2.5458e-07	AT3G20490
AT3G20500	0.132	0.095	0.169	0.018	5.238	7.544	8.0347e-07	PAP18
AT3G20510	0.059	0.04	0.079	0.009	11.672	6.438	6.1235e-06	FAX6
AT3G20550	0.169	0.132	0.205	0.017	4.111	9.785	2.1281e-08	DDL
AT3G20560	0.174	0.118	0.23	0.027	3.982	6.517	5.2749e-06	PDIL5-3
AT3G20620	0.697	0.572	0.821	0.059	0.995	11.797	1.3055e-09	AT3G20620
AT3G20630	0.115	0.089	0.141	0.012	6.037	9.356	4.0679e-08	UBP14
AT3G20650	0.282	0.207	0.357	0.036	2.459	7.927	4.1342e-07	AT3G20650
AT3G20660	0.16	0.132	0.187	0.013	4.341	12.161	8.2053e-10	OCT4
AT3G20670	0.343	0.24	0.446	0.049	2.02	7.026	2.0383e-06	HTA13
AT3G20680	0.931	0.615	1.248	0.15	0.744	6.214	9.4405e-06	AT3G20680
AT3G20710	1.069	0.959	1.18	0.052	0.648	20.501	1.9964e-13	AT3G20710
AT3G20720	0.634	0.463	0.804	0.081	1.094	7.823	4.94e-07	AT3G20720
AT3G20740	0.144	0.102	0.186	0.02	4.811	7.285	1.2747e-06	FIE
AT3G20770	0.153	0.113	0.193	0.019	4.525	8.098	3.09e-07	EIN3
AT3G20780	0.239	0.17	0.309	0.033	2.896	7.291	1.2598e-06	TOP6B
AT3G20790	0.056	0.039	0.074	0.008	12.275	6.778	3.2255e-06	AT3G20790
AT3G20800	0.068	0.044	0.092	0.011	10.187	6.054	1.289e-05	AT3G20800
AT3G20810	0.076	0.049	0.104	0.013	9.098	5.846	1.9449e-05	JMJD5
AT3G20860	0.531	0.338	0.723	0.091	1.306	5.82	2.0497e-05	ATNEK5
AT3G20870	0.105	0.075	0.135	0.014	6.614	7.442	9.6307e-07	ZTP29
AT3G20900	0.094	0.025	0.162	0.032	7.408	2.899	0.0099923	AT3G20900
AT3G20910	0.173	0.138	0.208	0.017	4.003	10.389	8.8252e-09	NFYA9
AT3G20920	0.11	0.084	0.137	0.013	6.275	8.789	9.9189e-08	AT3G20920
AT3G20930	0.069	0.031	0.106	0.018	10.078	3.858	0.0012624	AT3G20930
AT3G20950	0.11	0.068	0.152	0.02	6.298	5.514	3.7934e-05	CYP705A32
AT3G20970	0.286	0.181	0.39	0.05	2.425	5.775	2.2398e-05	NIFU4
AT3G20990	0.223	0.15	0.295	0.034	3.115	6.491	5.5413e-06	AT3G20990
AT3G21000	0.735	0.533	0.936	0.095	0.944	7.704	6.08e-07	AT3G21000
AT3G21020	0.237	0.166	0.309	0.034	2.922	7.003	2.1278e-06	AT3G21020
AT3G21040	0.383	0.286	0.481	0.046	1.808	8.291	2.2371e-07	AT3G21040
AT3G21055	0.115	0.093	0.137	0.01	6.019	11.135	3.1335e-09	PSBT
AT3G21060	0.402	0.304	0.501	0.047	1.724	8.619	1.3032e-07	RBL
AT3G21070	0.111	0.069	0.153	0.02	6.249	5.596	3.2123e-05	NADK1
AT3G21080	0.071	-0.006	0.148	0.037	9.724	1.95	0.067811	AT3G21080
AT3G21100	3.083	2.689	3.477	0.187	0.225	16.497	6.7816e-12	AT3G21100
AT3G21110	0.111	0.087	0.136	0.012	6.217	9.42	3.6921e-08	PUR7
AT3G21140	0.5	0.364	0.635	0.064	1.387	7.782	5.306e-07	AT3G21140
AT3G21160	0.133	0.079	0.187	0.026	5.204	5.181	7.5091e-05	MNS2
AT3G21175	0.134	0.092	0.175	0.02	5.19	6.803	3.0748e-06	GATA24
AT3G21190	0.184	0.123	0.245	0.029	3.769	6.347	7.3006e-06	AT3G21190
AT3G21200	0.249	0.189	0.308	0.028	2.789	8.796	9.7948e-08	GLUTRBP
AT3G21220	1.67	1.211	2.129	0.218	0.415	7.67	6.4446e-07	MKK5
AT3G21230	0.215	0.142	0.287	0.035	3.23	6.219	9.3398e-06	4CL4
AT3G21240	0.104	0.07	0.139	0.016	6.642	6.448	6.0096e-06	4CL2
AT3G21250	0.123	0.091	0.155	0.015	5.646	8.14	2.88e-07	ABCC8
AT3G21270	0.102	0.048	0.156	0.025	6.803	4.007	0.00091404	DOF3.1
AT3G21290	0.559	0.453	0.664	0.05	1.241	11.14	3.1105e-09	AT3G21290
AT3G21300	0.567	0.4	0.734	0.079	1.222	7.171	1.5665e-06	AT3G21300
AT3G21350	0.043	0.025	0.062	0.009	15.949	5.012	0.00010678	MED6
AT3G21360	0.239	0.145	0.333	0.045	2.905	5.351	5.2929e-05	AT3G21360
AT3G21390	0.168	0.121	0.216	0.022	4.12	7.478	9.0358e-07	AT3G21390
AT3G21400	0.142	0.105	0.179	0.018	4.866	8.119	2.9835e-07	AT3G21400
AT3G21420	0.252	0.199	0.305	0.025	2.75	10.015	1.5141e-08	AT3G21420
AT3G21430	0.201	0.132	0.27	0.033	3.449	6.178	1.0113e-05	ALY3
AT3G21465	0.153	0.098	0.207	0.026	4.537	5.897	1.7566e-05	AT3G21465
AT3G21480	0.559	0.412	0.707	0.07	1.24	8	3.6519e-07	AT3G21480
AT3G21540	0.313	0.248	0.377	0.031	2.215	10.228	1.1122e-08	AT3G21540
AT3G21560	0.129	0.047	0.211	0.039	5.376	3.325	0.0040035	UGT84A2
AT3G21580	0.106	0.049	0.164	0.027	6.509	3.91	0.001128	ABCI12
AT3G21610	0.06	0.045	0.076	0.007	11.515	8.157	2.7968e-07	AT3G21610
AT3G21630	0.123	0.074	0.171	0.023	5.649	5.358	5.219e-05	CERK1
AT3G21640	0.247	0.187	0.306	0.028	2.809	8.773	1.0174e-07	FKBP42
AT3G21650	0.282	0.217	0.347	0.031	2.459	9.191	5.2506e-08	B'ZETA
AT3G21690	0.165	0.112	0.218	0.025	4.2	6.56	4.8573e-06	AT3G21690
AT3G21740	0.381	0.25	0.511	0.062	1.821	6.141	1.0878e-05	APO4
AT3G21790	0.416	0.296	0.535	0.057	1.667	7.334	1.1663e-06	UGT71B7
AT3G21810	0.227	0.136	0.318	0.043	3.056	5.251	6.5094e-05	AT3G21810
AT3G21865	0.227	0.172	0.282	0.026	3.053	8.64	1.26e-07	PEX22
AT3G21890	0.217	0.071	0.362	0.069	3.198	3.148	0.0058657	AT3G21890
AT3G22110	0.049	0.033	0.066	0.008	14.005	6.332	7.5046e-06	PAC1
AT3G22160	0.739	0.635	0.843	0.049	0.938	15.009	3.0661e-11	VQ22
AT3G22170	0.149	0.116	0.182	0.016	4.658	9.508	3.2243e-08	FHY3
AT3G22180	1.401	1.211	1.59	0.09	0.495	15.577	1.6983e-11	PAT20
AT3G22190	0.214	0.153	0.274	0.029	3.245	7.436	9.7386e-07	IQD5
AT3G22200	0.157	0.122	0.191	0.017	4.428	9.451	3.52e-08	POP2
AT3G22210	0.024	-0.008	0.056	0.015	28.913	1.601	0.1277	AT3G22210
AT3G22220	0.474	0.353	0.595	0.057	1.462	8.26	2.3548e-07	AT3G22220
AT3G22230	0.058	0.044	0.071	0.006	12.036	8.969	7.442e-08	RPL27B
AT3G22240	0.094	0.073	0.116	0.01	7.348	9.208	5.1134e-08	AT3G22240
AT3G22260	0.256	0.211	0.301	0.021	2.711	11.99	1e-09	AT3G22260
AT3G22290	0.047	0.032	0.062	0.007	14.615	6.653	4.0723e-06	AT3G22290
AT3G22290	0.035	-0.038	0.109	0.035	19.563	1.022	0.32201	AT3G22290
AT3G22300	0.278	0.203	0.353	0.036	2.494	7.814	5.0218e-07	RPS10
AT3G22320	0.083	0.062	0.104	0.01	8.388	8.285	2.2593e-07	NRPB5A
AT3G22370	0.054	0.023	0.086	0.015	12.764	3.685	0.0020066	AOX1A
AT3G22380	0.38	0.293	0.467	0.041	1.825	9.199	5.1903e-08	TIC
AT3G22425	0.105	0.08	0.13	0.012	6.603	8.94	7.7942e-08	HISN5A
AT3G22430	0.363	0.247	0.48	0.055	1.907	6.579	4.6895e-06	AT3G22430
AT3G22435	0.215	0.158	0.272	0.027	3.221	7.999	3.6534e-07	AT3G22435
AT3G22440	0.085	0.057	0.113	0.013	8.13	6.424	6.293e-06	FRL4A
AT3G22450	0.111	0.05	0.172	0.029	6.225	3.85	0.0012836	AT3G22450
AT3G22460	0.181	0.12	0.243	0.029	3.82	6.198	9.7403e-06	OASA2
AT3G22480	0.134	0.096	0.171	0.018	5.186	7.465	9.2466e-07	PDF2
AT3G22520	0.295	0.218	0.372	0.037	2.35	8.056	3.32e-07	AT3G22520
AT3G22530	0.201	0.151	0.252	0.024	3.443	8.402	1.8612e-07	AT3G22530
AT3G22550	0.881	0.693	1.068	0.089	0.787	9.907	1.7742e-08	AT3G22550
AT3G22590	0.284	0.221	0.347	0.03	2.441	9.508	3.2251e-08	CDC37
AT3G22630	0.074	0.058	0.09	0.008	9.336	9.873	1.8667e-08	PBD1
AT3G22660	0.535	0.373	0.697	0.077	1.296	6.976	2.2345e-06	AT3G22660
AT3G22670	1.728	1.386	2.07	0.162	0.401	10.656	6.0504e-09	AT3G22670
AT3G22680	0.477	0.393	0.561	0.04	1.454	11.951	1.0711e-09	RDM1
AT3G22700	0.373	0.219	0.526	0.073	1.86	5.114	8.6442e-05	AT3G22700
AT3G22780	0.26	0.171	0.35	0.042	2.662	6.14	1.0907e-05	TSO1
AT3G22790	0.36	0.282	0.438	0.037	1.924	9.766	2.1867e-08	NET1A
AT3G22810	0.547	0.436	0.658	0.053	1.267	10.368	9.0943e-09	AT3G22810
AT3G22845	0.092	0.066	0.117	0.012	7.554	7.639	6.809e-07	AT3G22845
AT3G22850	0.047	0.034	0.059	0.006	14.815	7.846	4.7546e-07	AT3G22850
AT3G22860	1.213	0.841	1.585	0.176	0.572	6.873	2.7035e-06	TIF3C2
AT3G22880	0.04	0.023	0.056	0.008	17.517	5.14	8.1854e-05	DMC1
AT3G22890	0.042	0.02	0.063	0.01	16.574	4.084	0.00077287	APS1
AT3G22900	0.145	0.117	0.173	0.013	4.778	10.95	4e-09	NRPD7
AT3G22910	0.151	0.069	0.233	0.039	4.588	3.919	0.0012226	ACA13
AT3G22930	0.119	0.092	0.146	0.013	5.832	9.204	5.1451e-08	CML11
AT3G22940	1.206	1.015	1.397	0.091	0.575	13.316	2.0158e-10	AT3G22940
AT3G22950	0.203	0.159	0.246	0.021	3.419	9.769	2.1771e-08	ARFC1
AT3G22960	0.175	0.129	0.221	0.022	3.959	8.067	3.2573e-07	PKP1
AT3G22970	1.71	1.392	2.028	0.151	0.405	11.359	2.3204e-09	AT3G22970
AT3G22980	0.598	0.482	0.715	0.055	1.158	10.821	4.8114e-09	AT3G22980
AT3G22990	0.151	0.118	0.185	0.016	4.577	9.591	2.8464e-08	LFR
AT3G23000	0.449	0.338	0.561	0.053	1.543	8.497	1.592e-07	CIPK7
AT3G23020	0.662	0.421	0.904	0.114	1.047	5.791	2.1706e-05	AT3G23020
AT3G23030	0.919	0.715	1.123	0.097	0.754	9.519	3.1753e-08	IAA2
AT3G23060	0.108	0.077	0.138	0.015	6.446	7.347	1.1404e-06	AT3G23060
AT3G23070	0.288	0.193	0.382	0.045	2.411	6.411	6.4544e-06	ATCFM3A
AT3G23080	0.13	0.092	0.168	0.018	5.328	7.162	1.5909e-06	AT3G23080
AT3G23090	0.213	0.171	0.254	0.02	3.257	10.785	5.0569e-09	AT3G23090
AT3G23100	0.381	0.249	0.514	0.063	1.818	6.068	1.2556e-05	XRCC4
AT3G23150	0.711	0.597	0.825	0.054	0.975	13.154	2.4391e-10	ETR2
AT3G23160	0.976	0.69	1.262	0.136	0.71	7.204	1.4756e-06	AT3G23160
AT3G23170	0.95	0.778	1.122	0.081	0.73	11.659	1.562e-09	AT3G23170
AT3G23200	0.456	0.355	0.557	0.048	1.52	9.5	3.2665e-08	AT3G23200
AT3G23210	0.467	0.336	0.598	0.062	1.485	7.516	8.4478e-07	BHLH34
AT3G23240	2.389	1.863	2.915	0.249	0.29	9.579	2.9e-08	ERF1B
AT3G23250	0.421	0.33	0.513	0.043	1.645	9.705	2.4e-08	MYB15
AT3G23280	0.036	0.013	0.059	0.011	19.089	3.356	0.003751	XBAT35
AT3G23290	0.162	0.114	0.211	0.023	4.267	7.087	1.8252e-06	LSH4
AT3G23300	0.269	0.207	0.332	0.03	2.573	9.088	6.1681e-08	AT3G23300
AT3G23310	0.109	0.083	0.135	0.012	6.367	8.931	7.9e-08	AT3G23310
AT3G23325	0.031	0.013	0.049	0.009	22.089	3.672	0.0018873	AT3G23325
AT3G23330	0.517	0.385	0.649	0.063	1.341	8.253	2.3838e-07	PCMP-H32
AT3G23340	0.217	0.17	0.265	0.022	3.188	9.667	2.5383e-08	ckl10
AT3G23390	0.047	0.035	0.058	0.005	14.893	8.5	1.5847e-07	RPL36AB
AT3G23400	0.117	0.081	0.154	0.017	5.902	6.796	3.1155e-06	PAP6
AT3G23410	0.458	0.363	0.553	0.045	1.513	10.166	1.2161e-08	FAO3
AT3G23430	0.106	0.067	0.145	0.018	6.546	5.779	2.2241e-05	PHO1
AT3G23490	0.032	0.02	0.044	0.006	21.755	5.579	3.3226e-05	CYN
AT3G23540	0.285	0.212	0.359	0.035	2.43	8.194	2.628e-07	AT3G23540
AT3G23570	0.047	0.032	0.063	0.007	14.647	6.33	7.535e-06	AT3G23570
AT3G23580	0.145	0.11	0.179	0.016	4.792	8.777	1.0112e-07	RNR2A
AT3G23590	0.429	0.306	0.552	0.058	1.616	7.347	1.141e-06	MED33A
AT3G23600	0.031	0.019	0.043	0.006	22.512	5.459	4.2468e-05	AT3G23600
AT3G23605	0.144	0.085	0.203	0.028	4.819	5.16	7.8545e-05	PUX12
AT3G23610	0.292	0.177	0.407	0.055	2.373	5.354	5.2559e-05	DSPTP1
AT3G23620	0.235	0.155	0.314	0.038	2.954	6.238	9.011e-06	AT3G23620
AT3G23640	0.078	0.055	0.101	0.011	8.898	7.155	1.6123e-06	HGL1
AT3G23660	0.288	0.217	0.36	0.034	2.404	8.483	1.6286e-07	AT3G23660
AT3G23670	0.266	0.218	0.313	0.022	2.609	11.817	1.2724e-09	KIN12B
AT3G23690	0.152	0.122	0.183	0.015	4.555	10.495	7.5916e-09	BHLH77
AT3G23700	0.129	0.095	0.162	0.016	5.381	8.122	2.9684e-07	AT3G23700
AT3G23710	0.089	0.055	0.123	0.016	7.784	5.466	4.1848e-05	TIC22L
AT3G23740	1.13	0.888	1.373	0.115	0.613	9.845	1.9456e-08	AT3G23740
AT3G23750	0.209	0.156	0.261	0.025	3.324	8.367	1.9722e-07	AT3G23750
AT3G23760	0.12	0.081	0.159	0.018	5.786	6.529	5.1552e-06	AT3G23760
AT3G23770	0.803	0.643	0.963	0.076	0.864	10.582	6.7112e-09	AT3G23770
AT3G23790	0.147	0.099	0.196	0.023	4.701	6.46	5.8741e-06	AAE16
AT3G23805	0.231	0.171	0.292	0.029	2.994	8.018	3.54e-07	RALFL24
AT3G23810	0.22	0.144	0.295	0.036	3.157	6.101	1.1748e-05	SAHH2
AT3G23820	0.066	0.037	0.095	0.014	10.558	4.754	0.00018409	GAE6
AT3G23830	0.064	0.048	0.08	0.008	10.795	8.524	1.5213e-07	RBG4
AT3G23870	0.08	0.033	0.126	0.022	8.69	3.635	0.0020465	AT3G23870
AT3G23890	0.19	0.156	0.223	0.016	3.655	11.989	1e-09	TOP2
AT3G23900	0.329	0.259	0.399	0.033	2.106	9.965	1.6308e-08	AT3G23900
AT3G23920	0.141	0.086	0.195	0.026	4.923	5.466	4.1876e-05	BAM1
AT3G23940	0.149	0.113	0.185	0.017	4.658	8.793	9.8519e-08	DHAD
AT3G23980	0.681	0.485	0.877	0.093	1.018	7.317	1.2032e-06	BLI
AT3G23990	0.112	0.091	0.133	0.01	6.187	11.05	3.5178e-09	CPN60
AT3G24000	0.084	0.053	0.115	0.015	8.235	5.776	2.2383e-05	PCMP-H87
AT3G24010	0.049	0.033	0.065	0.008	14.266	6.425	6.2836e-06	ING1
AT3G24030	0.164	0.118	0.211	0.022	4.223	7.443	9.6139e-07	THIM
AT3G24040	0.199	0.139	0.259	0.029	3.481	6.966	2.2746e-06	AT3G24040
AT3G24050	1.366	1.189	1.544	0.084	0.507	16.265	8.5121e-12	GATA1
AT3G24070	0.145	0.058	0.232	0.041	4.786	3.505	0.0027174	AT3G24070
AT3G24080	0.624	0.46	0.789	0.078	1.11	7.998	3.663e-07	AT3G24080
AT3G24090	0.427	0.334	0.52	0.044	1.624	9.675	2.5065e-08	AT3G24090
AT3G24100	0.011	-0.01	0.031	0.01	65.337	1.101	0.28605	AT3G24100
AT3G24120	0.065	0.041	0.089	0.012	10.683	5.628	3.0138e-05	AT3G24120
AT3G24150	0.641	0.544	0.738	0.046	1.081	13.97	9.517e-11	AT3G24150
AT3G24160	0.042	0.027	0.057	0.007	16.57	5.854	1.9156e-05	PMP
AT3G24170	0.1	0.074	0.126	0.012	6.944	8.057	3.3149e-07	ATGR1
AT3G24180	0.335	0.239	0.431	0.045	2.068	7.392	1.0523e-06	AT3G24180
AT3G24190	0.297	0.239	0.356	0.028	2.33	10.647	6.1308e-09	AT3G24190
AT3G24200	0.161	0.117	0.204	0.021	4.318	7.723	5.88e-07	AT3G24200
AT3G24315	0.114	0.08	0.148	0.016	6.095	7.092	1.8062e-06	AtSec20
AT3G24320	0.557	0.425	0.689	0.063	1.245	8.881	8.5576e-08	MSH1
AT3G24340	0.118	0.053	0.183	0.031	5.862	3.841	0.0013099	CLSY4
AT3G24350	0.091	0.068	0.114	0.011	7.633	8.249	2.4e-07	SYP32
AT3G24430	0.071	0.053	0.089	0.008	9.766	8.437	1.7571e-07	HCF101
AT3G24440	0.635	0.54	0.731	0.045	1.091	14.024	8.9593e-11	VIL1
AT3G24490	0.466	0.353	0.58	0.054	1.487	8.654	1.2315e-07	AT3G24490
AT3G24495	0.183	0.149	0.217	0.016	3.779	11.372	2.2794e-09	MSH7
AT3G24500	0.05	-0.023	0.122	0.034	13.926	1.459	0.16405	MBF1C
AT3G24506	0.066	0.053	0.078	0.006	10.558	11.242	2.7117e-09	AT3G24506
AT3G24515	0.391	0.196	0.585	0.092	1.775	4.245	0.00054579	UBC37
AT3G24530	0.109	0.077	0.141	0.015	6.364	7.151	1.6231e-06	AT3G24530
AT3G24540	0.452	0.331	0.573	0.058	1.533	7.86	4.6418e-07	PERK3
AT3G24550	0.119	0.086	0.151	0.015	5.833	7.731	5.7928e-07	PERK1
AT3G24560	0.21	0.143	0.276	0.032	3.307	6.624	4.3075e-06	RSY3
AT3G24570	0.139	0.105	0.173	0.016	4.998	8.611	1.3219e-07	AT3G24570
AT3G24590	0.174	0.128	0.22	0.022	3.985	7.99	3.7111e-07	PLSP1
AT3G24660	0.343	0.267	0.418	0.036	2.022	9.577	2.9051e-08	TMKL1
AT3G24670	0.214	0.153	0.275	0.029	3.241	7.411	1.0172e-06	AT3G24670
AT3G24720	0.359	0.229	0.49	0.062	1.929	5.81	2.0894e-05	AT3G24720
AT3G24740	0.156	0.097	0.215	0.028	4.447	5.568	3.3998e-05	AT3G24740
AT3G24760	0.175	0.127	0.223	0.023	3.967	7.686	6.2712e-07	AT3G24760
AT3G24770	0.196	0.127	0.265	0.033	3.53	6.017	1.3856e-05	CLE41
AT3G24800	0.104	0.081	0.126	0.011	6.671	9.718	2.3515e-08	PRT1
AT3G24810	0.403	0.318	0.489	0.04	1.718	10.007	1.5335e-08	KRP5
AT3G24820	0.279	0.182	0.376	0.046	2.483	6.056	1.2837e-05	AT3G24820
AT3G24830	0.062	0.048	0.077	0.007	11.109	8.948	7.7e-08	RPL13AB
AT3G25040	0.237	0.174	0.3	0.03	2.924	7.985	3.744e-07	ERD2B
AT3G25070	0.04	0.025	0.055	0.007	17.429	5.565	3.4213e-05	RIN4
AT3G25080	0.272	0.204	0.341	0.033	2.545	8.35	2.0278e-07	AT3G25080
AT3G25100	0.752	0.614	0.889	0.065	0.922	11.532	1.8453e-09	CDC45
AT3G25110	0.438	0.326	0.55	0.053	1.582	8.246	2.4093e-07	FATA
AT3G25120	0.416	0.244	0.589	0.082	1.665	5.091	9.0658e-05	AT3G25120
AT3G25130	0.506	0.369	0.643	0.065	1.371	7.788	5.2475e-07	AT3G25130
AT3G25140	0.237	0.166	0.308	0.034	2.928	7.055	1.9319e-06	GAUT8
AT3G25150	0.066	0.048	0.085	0.009	10.453	7.501	8.6755e-07	AT3G25150
AT3G25160	0.097	0.068	0.125	0.013	7.179	7.18	1.5397e-06	AT3G25160
AT3G25210	0.247	0.173	0.322	0.035	2.804	6.986	2.1936e-06	AT3G25210
AT3G25220	0.041	0.027	0.054	0.006	17.03	6.466	5.811e-06	FKBP15-1
AT3G25230	0.105	0.08	0.13	0.012	6.614	8.94	7.7904e-08	FKBP62
AT3G25250	0.199	-0.098	0.497	0.14	3.476	1.421	0.17448	OXI1
AT3G25290	0.155	0.104	0.206	0.024	4.47	6.38	6.8473e-06	AT3G25290
AT3G25410	0.138	0.094	0.182	0.021	5.017	6.635	4.2196e-06	BASS3
AT3G25420	0.212	0.085	0.339	0.06	3.272	3.52	0.0026288	scpl21
AT3G25440	0.662	0.454	0.87	0.099	1.047	6.72	3.5961e-06	AT3G25440
