"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"260023_at"	5.937605841965	9.08197661824722	48.7254189190276	1.99856718977059e-16	2.53262875548151e-13	27.833333810502
"246993_at"	6.96296125856691	7.5923121868835	48.3667585665959	2.20452475431277e-16	2.6465899813618e-13	27.7469824536568
"247137_at"	5.73860948668413	9.42517239451451	48.0272955671275	2.4205836728755e-16	2.76067567891451e-13	27.6644554981693
"247208_at"	8.11876229286491	8.3447288595448	47.6984771722693	2.6516950061507e-16	2.88024586144274e-13	27.5837668173126
"245082_at"	7.52602467256341	8.47286093000826	47.0018084733173	3.22352745162871e-16	3.34221187143868e-13	27.4103302328296
"259887_at"	4.24525760287109	9.06822753994169	46.670621702384	3.54066392998218e-16	3.39751593415066e-13	27.3266771014919
"265723_at"	7.77159907938936	7.41455780906711	46.6369227560126	3.57476468301692e-16	3.39751593415066e-13	27.318121118782
"260399_at"	7.09068681324891	9.1030689354192	46.3673323400437	3.8606175140105e-16	3.52242741978318e-13	27.2493777833282
"257919_at"	7.92738963724755	7.07955025673401	45.2614812908579	5.31789715439268e-16	4.66543208044988e-13	26.9617862387643
"247047_at"	5.72061150475988	8.32149529168282	44.9146697629536	5.88912523001464e-16	4.97522024061607e-13	26.8696912103114
"245755_at"	7.88011889755727	7.87941931698191	44.363080339809	6.93787265561467e-16	5.65188840266324e-13	26.7212945579082
"259439_at"	6.41460253113434	8.14746711331457	43.8932578104933	7.98993861916365e-16	6.07984539634464e-13	26.5929975002155
"251336_at"	7.31451460666735	7.88718175568965	43.8906278316065	7.996289429651e-16	6.07984539634464e-13	26.5922743301195
"250493_at"	5.0258643424958	7.09307319482093	43.6495878545062	8.60202597378183e-16	6.1343829453862e-13	26.5257569948726
"245119_at"	6.96798318258417	8.17741475211	43.5900089157702	8.75922837328269e-16	6.1343829453862e-13	26.5092426739701
"256177_at"	6.87691118404183	6.94685396449222	43.4955263903869	9.01488937244646e-16	6.1343829453862e-13	26.4829940350744
"262731_at"	6.03012267130837	6.02954863157384	43.3072410503383	9.54859986268831e-16	6.1343829453862e-13	26.430466499972
"264434_at"	4.97276958986382	7.81851708674546	43.2724521082057	9.65087686591122e-16	6.1343829453862e-13	26.4207290571938
"247493_at"	5.95428994051727	10.0118620349972	43.2620718926123	9.68162148329255e-16	6.1343829453862e-13	26.4178216847919
"266821_at"	7.82580470864369	7.63476366767023	42.9525950337246	1.06483419794451e-15	6.5645589338147e-13	26.3307282924086
"249312_at"	5.04094903029957	6.60626627352599	42.669364870706	1.1624349825794e-15	6.97766893490421e-13	26.2503152925434
"260046_at"	7.23780136026201	8.04653185960309	42.4534827504105	1.24327369164618e-15	7.23952557427288e-13	26.1885648565321
"261470_at"	6.17959102725962	8.29352758160826	42.3865819302676	1.26953539224426e-15	7.23952557427288e-13	26.1693475299946
"246777_at"	7.43697702323602	8.48235572424167	42.2539481117087	1.32337929824489e-15	7.36250775438193e-13	26.1311340987662
"263783_at"	7.76599339129156	8.86478249531528	41.7752465327403	1.53907656736784e-15	8.35865154801441e-13	25.9919384111187
"261474_at"	7.56067545987293	7.71231344775636	41.6495773737966	1.60176221332512e-15	8.47387214560349e-13	25.9550618830638
"253632_at"	6.35571684271519	7.71024950670222	41.5843642075007	1.63536781510802e-15	8.47387214560349e-13	25.9358702317717
"258947_at"	8.12273443994841	7.57723468607053	41.413856484378	1.72686570185578e-15	8.47387214560349e-13	25.8855114559347
"259879_at"	7.15762363289577	8.18986660045698	41.3792181922718	1.74611698762484e-15	8.47387214560349e-13	25.8752492437374
"265184_at"	5.21337370893639	8.79529033897335	41.3485850061431	1.76333450749359e-15	8.47387214560349e-13	25.8661645991965
"249417_at"	6.92068844046045	7.76649399145434	41.3136531568048	1.78319098197706e-15	8.47387214560349e-13	25.8557947902404
"254014_at"	4.51645648424584	5.71428508230342	41.0030508525482	1.97069059972231e-15	8.83062515402497e-13	25.7631024804278
"254897_at"	4.55592031508221	6.32095261386837	40.9419699461826	2.00999677441439e-15	8.83062515402497e-13	25.7447705062762
"245840_at"	6.18568461013692	7.59789094357729	40.9374770794324	2.01292105093519e-15	8.83062515402497e-13	25.7434207257662
"256044_at"	5.67310469802883	6.61928234418581	40.9371727719397	2.01311928105786e-15	8.83062515402497e-13	25.743329296726
"254784_at"	4.8999666823287	11.4519756707298	40.4048955581722	2.3941871583684e-15	1.01734003380908e-12	25.5820921064855
"260206_at"	4.49159000825499	8.44147548026893	40.3868012141147	2.40843322339722e-15	1.01734003380908e-12	25.5765643998053
