"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"259312_at"	4.52765613884061	10.1436643341596	29.8987449406367	1.27778426477617e-13	1.83309805531726e-11	21.74877361486
"250829_at"	4.01174968429467	9.47514312941378	29.7582416043178	1.35950853880016e-13	1.93532404550285e-11	21.6875140544636
"250990_at"	3.39315058457155	9.63528915652854	29.7474538559634	1.36601127280122e-13	1.93532404550285e-11	21.6827971134273
"247925_at"	4.46525475448235	11.2970873205897	29.6162899081035	1.44780375343391e-13	2.03353609618018e-11	21.6252910944218
"258577_at"	5.20735752660346	7.60029001091134	29.6079759256909	1.45316257640232e-13	2.03353609618018e-11	21.6216363484814
"249746_at"	3.92319274669461	8.96724908915397	29.5472246970208	1.49297256878155e-13	2.07650635938458e-11	21.5948956071133
"245731_at"	4.82045772807368	10.6798101872307	29.4721100235407	1.5438213932723e-13	2.1342161200328e-11	21.5617469326169
"258855_at"	3.37360036982718	8.64188879248348	29.3785818637862	1.60974953336262e-13	2.21195101542177e-11	21.5203393168163
"258786_at"	4.2660096257764	10.2277341763778	29.3463302456139	1.63317957240916e-13	2.23070814650617e-11	21.5060262647701
"254694_at"	3.47465241200777	9.70464377942942	29.3011793911728	1.66659783601279e-13	2.23918043769337e-11	21.4859589383345
"249237_at"	3.97370430145762	10.7553194051352	29.2950951909684	1.67115688648674e-13	2.23918043769337e-11	21.4832521597102
"247509_at"	3.38648794085484	8.62533299456571	29.2899366638254	1.67503279741014e-13	2.23918043769337e-11	21.480956706588
"246253_at"	4.33103944641309	10.5938696744878	29.2851352286122	1.67864907867411e-13	2.23918043769337e-11	21.4788197456004
"249188_at"	4.96133261364817	7.5759913396591	29.2514430366934	1.70426195431822e-13	2.26012878941853e-11	21.4638133986201
"249770_at"	7.42749493822539	7.58683302842985	29.1851532908853	1.75588899132187e-13	2.30267976344648e-11	21.4342316090789
"262211_at"	5.60532696350822	7.14285214818938	29.184333550403	1.75653782919635e-13	2.30267976344648e-11	21.4338653288769
"253181_at"	5.29537684337628	7.45901971650492	29.1581049292229	1.77743471751063e-13	2.31675919465242e-11	21.4221396485928
"257644_at"	5.65853062343538	7.46225359050999	29.0906183290068	1.83243972538581e-13	2.3748835304574e-11	21.3919149379558
"263513_at"	4.88317234817351	9.37525386338788	28.9114715870311	1.98751586975706e-13	2.55104182113675e-11	21.3112998136731
"249618_at"	4.2407099129452	6.56935955968123	28.907919480848	1.99072969821281e-13	2.55104182113675e-11	21.3096957432681
"251259_at"	3.47138088793786	7.59948401638709	28.8741691837072	2.0215457608969e-13	2.57605915117643e-11	21.2944436940235
