"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"266479_at"	1.54320937172029	5.75660602506607	9.61649983961635	2.26920978728844e-07	0.000136212303284341	7.3935055959318
"255149_at"	1.28790536553056	6.59155457828945	9.59397063336407	2.33271465696913e-07	0.000136433900834528	7.36795915635351
"246272_at"	2.01631767564362	5.42472511857892	9.55027179380783	2.46135169703821e-07	0.000140358580523604	7.31824083796752
"262870_at"	1.29410558150652	9.22506853297008	9.50476856361107	2.60336449995412e-07	0.000142997555738103	7.26623421801946
"267035_at"	1.8938643637198	8.31713549264267	9.49560322062381	2.63301067119699e-07	0.000142997555738103	7.25572978734735
"251062_at"	1.85220518256147	6.15388493076806	9.47075724286663	2.71520011354489e-07	0.000144031894395253	7.22720439373323
"253101_at"	1.18414472408708	7.93138466151679	9.37885860222467	3.04375092670321e-07	0.000157790815086591	7.12106720874682
"249917_at"	1.57595587438117	6.73022394111859	9.30247405895638	3.34905383529554e-07	0.000169759817740203	7.03208821389644
"264415_at"	2.86148155576483	4.88451080547777	9.26594669724069	3.50642483285195e-07	0.000173872935733376	6.989292510809
"260939_at"	1.1955961751816	6.84804745922591	9.13873428997275	4.1188889677374e-07	0.000199897568838489	6.83899778193875
"266369_at"	1.28294878875673	8.15408583126576	9.04087524392327	4.66721772270755e-07	0.000221790075531165	6.72204578554976
"257467_at"	1.9286807979285	6.27311450303253	9.01134785682925	4.84753551322921e-07	0.000225657724605629	6.68652695747803
"251235_at"	-1.06859354382009	6.35916077175869	-8.9820646907065	5.03369790582771e-07	0.00022963729846386	6.6511957794322
"255851_at"	1.02576655895928	6.67700806660713	8.95594138125118	5.2061956741104e-07	0.00023284965358129	6.61958760625846
"252858_at"	-1.35952997427554	5.39009092231824	-8.79503048074174	6.41732196789459e-07	0.000281498296322453	6.42301650099967
"253666_at"	1.77566729045892	11.2518477906127	8.7745932990547	6.59139089786017e-07	0.000283678540339982	6.39781745388247
"261323_at"	1.15211620504819	7.87388226341009	8.71842846168022	7.09612360522936e-07	0.00029543650261056	6.32829376320992
"253088_at"	0.921297781665943	8.30925660410042	8.71549039182082	7.12363333782586e-07	0.00029543650261056	6.32464584345343
"257288_at"	1.20593646616232	5.10203213404641	8.68431009757509	7.42266631297078e-07	0.000302341104640828	6.28586448389505
"253485_at"	1.46913732028707	10.0265424679769	8.60800614046806	8.21217861278444e-07	0.000328631217820374	6.19043473127258
"252230_at"	1.04115607446526	8.31316871292601	8.53432270405378	9.05972211699353e-07	0.000350889700820775	6.09757091174432
"258503_at"	1.20573778262429	5.28607753000764	8.53297531361368	9.07605977572369e-07	0.000350889700820775	6.09586624228272
"247362_at"	1.29746832433901	8.25036836744098	8.42418280952043	1.05043318421153e-06	0.000399339682197751	5.95744546857948
"261768_at"	1.63562225807188	7.77318473647738	8.34788724861006	1.16473477630255e-06	0.000435534430286249	5.85944606557882
"261100_at"	0.963409046562644	6.45041442076928	8.31631375239723	1.21583681273449e-06	0.000447310285459254	5.81866591763897
"263513_at"	1.39259971185282	9.37525386338788	8.24507187758797	1.34009490873014e-06	0.000480378172845831	5.72616365236284
"261754_at"	-1.05110678052611	8.10461669678609	-8.2408667616377	1.34783880149641e-06	0.000480378172845831	5.72068246769267
"262745_at"	1.13924046373955	10.3971917062716	8.20376189887051	1.41826384392801e-06	0.000497701511999968	5.67221531277414
"253184_at"	0.79146514751828	9.92556581198055	8.15019880285947	1.52689751677567e-06	0.000527705035722016	5.60192400723182
"261745_at"	1.39930517285546	7.52330793492699	8.07790099876937	1.6877382735279e-06	0.00057458671670405	5.50643279031991
"266550_s_at"	1.87015080955509	4.23051975468943	8.04463928770772	1.7676876203445e-06	0.000584530697265201	5.46226238149804
"250141_at"	1.32709468779458	8.86176128245578	8.04443172871692	1.76819895270929e-06	0.000584530697265201	5.46198627737948
"260143_at"	1.16355145238751	10.8103214857673	8.00129978939854	1.8779388289856e-06	0.000611939781273737	5.4044827048506
"258288_at"	1.1867420229409	6.0046731058386	7.96711490401477	1.97004225007765e-06	0.000632910756679877	5.35872655005448
"256098_at"	1.32975431318274	6.51255619841168	7.87345171336584	2.24781513412388e-06	0.000712120322352301	5.23253567683599
"253372_at"	-1.02691371219549	8.47866797485464	-7.76678914116408	2.61551069769002e-06	0.000817257520743965	5.08735084026796
"259632_at"	1.16397410880736	9.97467469016072	7.74581171524319	2.6950537866323e-06	0.000830732119906524	5.05861049550235
"257101_at"	1.91398221092326	5.41673793489368	7.65169207897103	3.08483886203498e-06	0.000928614241986764	4.9289005809514
"252129_at"	-0.944435374440413	5.52467480186544	-7.64172724606704	3.12947410959781e-06	0.000928614241986764	4.91509460239759
"258298_at"	0.787879285889953	9.02161818557401	7.64056276645696	3.13473461784221e-06	0.000928614241986764	4.91348033507144
